Date	Percentage Change Apple	Percentage Change McDonalds	Percentage Change Disney	Percentage Change Microsoft	Percentage Change IBM	Percentage Change Exxon	Apple & McDonalds
20101217	-0.1992	0.1304	0.1081	-0.3037	0.3113	-0.0692	0.048
20101220	0.4991	0.1432	0.027	-0.3315	-0.3379	0.0693	0.232175
20101221	0.6192	-0.078	0.7285	0.9349	0.8512	0.6923	0.0963
20101222	0.2946	0.1952	1.6609	0.4186	0.1441	0.11	0.22005
20101223	-0.4798	-0.0649	-0.6588	0.3991	-0.0411	0.5494	-0.168625
20101227	0.3337	-0.6887	-0.5836	-0.8127	-0.377	-0.2596	-0.4331
20101228	0.2433	0	-0.3202	-0.2137	0.2546	0.5616	0.060825
20101229	-0.0553	0.7327	0.6424	-0.1428	0.5559	-0.0681	0.5357
20101230	-0.5011	-0.2987	-0.3191	-0.429	0.1024	-0.0136	-0.3493
20101231	-0.3399	0	0.08	0.2154	0.0614	-0.3272	-0.084975
20110103	2.1732	-0.2084	0.8264	0.2508	0.4906	1.9557	0.387
20110104	0.5219	-2.9896	3.0936	0.3842	0.1085	0.4695	-2.111725
20110105	0.818	0.471	2.4878	-0.3115	-0.3996	-0.267	0.55775
20110106	-0.0808	-0.6027	-0.7758	2.9286	1.0949	0.6426	-0.472225
20110107	0.7161	0.2156	-0.5044	-0.7634	-0.4911	0.5454	0.340725
20110110	1.8847	-1.0892	0.1267	-1.3287	-0.196	-0.6085	-0.345725
20110111	-0.238	0.4622	-0.2532	-0.3898	-0.2438	0.7454	0.28715
20110112	0.8137	-0.406	-0.5838	1.5653	1.2357	1.1758	-0.101075
20110113	0.3658	-1.2636	0.2298	-1.2609	-0.1878	0.1698	-0.85625
20110114	0.81	1.9128	0.0764	0.3902	0.7929	1.4731	1.6371
20110118	-2.2469	0.8372	0.2545	1.2721	0.4333	1.1177	0.066175
20110119	-0.5313	0.8972	-0.7616	-0.6629	3.3455	-0.5971	0.540075
20110120	-1.818	-0.2521	0.2047	-0.4127	0.0707	-0.6263	-0.643575
20110121	-1.7915	-0.1996	1.4552	-1.1727	-0.1926	1.582	-0.597575
20110124	3.2842	0.4933	0.5033	1.2848	2.656	-0.4938	1.191025
20110125	1.1705	0.1327	-0.2003	0.2467	1.1339	0.1145	0.39215
20110126	0.7176	-0.4107	-1.0537	1.1599	-0.2478	1.2456	-0.128625
20110127	-0.1861	-1.0909	0.0507	0.3127	0.0186	0.2762	-0.8647
20110128	-2.0716	-1.4391	-1.5459	-3.876	-1.1548	-1.1142	-1.597225
20110131	0.958	0.5322	0.0515	-0.0937	1.7524	2.1395	0.63865
20110201	1.6828	-0.2715	2.5984	0.9648	0.963	4.0035	0.217075
20110202	-0.2058	0.2314	1.5296	-0.1875	-0.159	-0.5959	0.1221
20110203	-0.2556	0.258	0.0247	-1.0379	0.1408	0.036	0.1296
20110204	0.891	0.298	0.5185	0.434	0.2874	-0.1918	0.44625
20110207	1.5527	-0.8103	0.565	1.5394	0.5	0.7805	-0.21955
20110208	0.9435	2.6004	0.5862	0.3014	1.1406	-0.6076	2.186175
20110209	0.8333	0.7564	5.2938	-1.1049	-0.8431	-0.5182	0.775625
20110210	-1.0107	-0.2239	-0.1153	-1.6804	-0.3401	0.7874	-0.4206
20110211	0.6515	0.5016	0.2309	-0.9091	-0.1463	-0.4567	0.539075
20110214	0.6529	0.1313	-0.3916	-0.0734	-0.3845	2.5235	0.2617
20110215	0.2005	-0.118	-0.3469	-0.404	-0.2328	-2.2848	-0.038375
20110216	0.8975	-0.1707	1.4156	0.2226	0.3439	0.8678	0.09635
20110217	-1.3301	-0.0526	0	0.7032	0.5141	0.227	-0.371975
20110218	-2.1602	0.1974	-0.3204	-0.5513	0.3653	0.7392	-0.392
20110222	-3.4088	-0.5648	-2.0891	-1.7369	-1.7532	1.1124	-1.2758
20110223	1.1843	-0.6737	-1.2192	0	-1.0929	1.9078	-0.2092
20110224	0.0759	0.0266	0.6883	0.6769	0.3683	-1.2633	0.038925
20110225	1.5399	-0.2127	1.2494	-0.8218	0.9392	-0.7328	0.22545
20110228	1.4505	1.6658	1.8394	0.113	-0.2465	0.2226	1.611975
20110301	-1.1042	-1.0439	-1.7147	-1.5801	-1.1799	-0.8535	-1.058975
20110302	0.8044	-0.2671	0.6978	-0.3154	0.1188	0.3302	0.000775
20110303	2.1129	2.0752	1.8018	0.4698	2.0729	0.8698	2.084625
20110304	0.1224	-0.2754	-1.1799	-0.9447	-1.0093	-0.8623	-0.17595
20110307	-1.2889	0.342	-1.217	-0.8959	-1.1741	-0.4231	-0.065725
20110308	0.1126	-0.9831	0.4184	0.7387	1.4694	-0.1416	-0.709175
20110309	-0.9248	0.3177	-0.1852	-0.0772	2.2061	-0.26	0.007075
20110310	-1.6455	1.1877	-1.5074	-1.854	-2.3152	-3.5553	0.4794
20110311	1.5346	0.0652	1.0831	1.0626	0.253	0.9093	0.43255
20110314	0.446	-1.3815	-1.6073	0.0389	-0.6403	0.3166	-0.924625
20110315	-2.2995	-0.7268	-1.4678	-1.1678	-1.4685	-1.2017	-1.119975
20110316	-4.464	-2.3163	-2.4507	-2.3631	-3.7857	-2.5556	-2.853225
20110317	1.403	0.0273	0.3941	-0.0403	0.7712	2.3326	0.371225
20110318	-1.1863	-0.5586	1.1531	0.0807	1.1091	-0.382	-0.715525
20110321	2.6098	1.0549	1.431	2.1371	1.1482	2.4613	1.443625
20110322	0.56	0.1491	-0.9087	-0.1382	0.2029	-0.338	0.251825
20110323	-0.5891	0.8935	1.9305	0.9686	0.9684	0.0485	0.52285
20110324	1.7041	0.5367	1.4678	1.0572	0.3197	0.1574	0.82855
20110325	1.9045	0.4271	0.2567	-0.7361	1.3372	1.0758	0.79645
20110328	-0.3129	-0.3322	-1.0472	-0.8197	-0.4994	-0.1794	-0.327375
20110329	0.1484	0.4933	0.9878	0.3148	0.9357	-0.2636	0.407075
20110330	-0.6639	0.5838	0.9548	0.4708	0.442	1.4895	0.271875
20110331	-0.0351	0.3693	-0.5998	-0.859	-0.324	-0.4261	0.2682
20110401	-1.1327	-0.1314	-0.557	0.3545	0.7359	0.6538	-0.381725
20110404	-0.9781	0.5264	-0.5134	0.2747	-0.0122	0.2244	0.150275
20110405	-0.6741	0.2749	-0.4692	0.9002	-0.1583	0.648	0.03765
20110406	-0.2508	0.1567	-0.3771	1.4352	0.0305	-0.281	0.054825
20110407	0.0118	-0.9254	-0.5441	0.1912	0.2073	0.6809	-0.6911
20110408	-0.8933	0.0395	-0.666	-0.4962	-0.2008	0.2215	-0.1937
20110411	-1.2714	0.2762	0.3113	-0.3452	-0.061	-0.9191	-0.1107
20110412	0.4837	0.5377	-0.6207	-1.3087	-0.427	-2.325	0.5242
20110413	1.1221	0.3	0.1681	-0.039	0.4288	-0.024	0.505525
